subject	A1	A2	B1	B2	C1	C2	DMA1	DMA2	DMB1	DMB2	DPA11	DPA12	DPA21	DPA22	DPB11	DPB12	DQB11	DQB12	DRA1	DRA2	DRB11	DRB12	DRB31	DRB32	E1	E2	F1	F2	HFE1	HFE2	K1	K2	DPB21	DPB22	W1	W2	J1	J2	L1	L2	DOB1	DOB2	DOA1	DOA2	DQA11	DQA12	DRB41	DRB42	H1	H2	DRB51	DRB52	R1	R2	V1	V2	Y1	Y2	G1	G2	T1	T2	U1	U2	S1	S2	DQB21	DQB22	DQA21	DQA22	DRB71	DRB72	N1	N2	P1	P2
SRR7367654	51970.0	51970.0	47271.0	47271.0	164213.0	164213.0	2725.0	2725.0	1635.0	1635.0	9225.0	9225.0			4753.0	4753.0	1218.0	1218.0	12797.0	12797.0	2501.0	2501.0	7.0	7.0	67532.0	67532.0	14788.0	14788.0	664.0	664.0	7.0	7.0	9.0	9.0	75.0	75.0	93.0	93.0	39.0	39.0	676.0	676.0	178.0	178.0	1558.0	1558.0			10.0	10.0	3.0	3.0							9.0	9.0																
SRR7367655	80825.0	80825.0	37624.0	37624.0	95842.0	95842.0	2669.0	2669.0	1564.0	1564.0	9189.0	9189.0	3.0	3.0	3797.0	3797.0	2930.0	2930.0	12703.0	12703.0	1647.0	1647.0	2.0	2.0	75001.0	75001.0	15883.0	15883.0	350.0	350.0	61.0	61.0	7.0	7.0	27.0	27.0	42.0	42.0	20.0	20.0	620.0	620.0	307.0	307.0	2021.0	2021.0			40.0	40.0	5.0	5.0			1.0	1.0			5.0	5.0			2.0	2.0	1.0	1.0										
SRR7367656	48281.0	48281.0	2980.0	2980.0	62871.0	62871.0	4223.0	4223.0	2711.0	2711.0	14978.0	14978.0			5529.0	5529.0			17071.0	17071.0	4991.0	4991.0	7.0	7.0	80895.0	80895.0	14624.0	14624.0	407.0	407.0	97.0	97.0	7.0	7.0	5.0	5.0	45.0	45.0	22.0	22.0	460.0	460.0	140.0	140.0	3.0	3.0			25.0	25.0					1.0	1.0			2.0	2.0			2.0	2.0												
SRR7367657	28648.0	28648.0	8355.0	8355.0	5354.0	5354.0	3904.0	3904.0	2400.0	2400.0	10960.0	10960.0			6423.0	6423.0			15691.0	15691.0	73.0	73.0			66904.0	66904.0	10286.0	10286.0	397.0	397.0	13.0	13.0	2.0	2.0	22.0	22.0	60.0	60.0	10.0	10.0	552.0	552.0	163.0	163.0	23.0	23.0	101.0	101.0							5.0	5.0			3.0	3.0							2.0	2.0	1.0	1.0						
SRR7367658	11419.0	11419.0	15986.0	15986.0	17472.0	17472.0	5143.0	5143.0	3716.0	3716.0	10540.0	10540.0	4.0	4.0	3523.0	3523.0	619.0	619.0	33411.0	33411.0	7444.0	7444.0	7.0	7.0	23041.0	23041.0	5553.0	5553.0	579.0	579.0	21.0	21.0	13.0	13.0	14.0	14.0	51.0	51.0	8.0	8.0	1082.0	1082.0	163.0	163.0	2828.0	2828.0	2.0	2.0	2.0	2.0	6798.0	6798.0									1.0	1.0														
SRR7367659	123208.0	123208.0	128571.0	128571.0	114905.0	114905.0	2429.0	2429.0	1494.0	1494.0	7356.0	7356.0			544.0	544.0	2808.0	2808.0	9427.0	9427.0	7621.0	7621.0	4.0	4.0	92289.0	92289.0	20249.0	20249.0	383.0	383.0	110.0	110.0	2.0	2.0	15.0	15.0	31.0	31.0	15.0	15.0	275.0	275.0	73.0	73.0	1934.0	1934.0	1.0	1.0	35.0	35.0	5654.0	5654.0			2.0	2.0	1.0	1.0	5.0	5.0			4.0	4.0												
SRR7367660	397.0	397.0	146970.0	146970.0	93964.0	93964.0	4195.0	4195.0	2625.0	2625.0	13927.0	13927.0			8939.0	8939.0	8427.0	8427.0	26296.0	26296.0	18360.0	18360.0	2.0	2.0	76860.0	76860.0	11252.0	11252.0	340.0	340.0	26.0	26.0	7.0	7.0	4.0	4.0	31.0	31.0	28.0	28.0	540.0	540.0	303.0	303.0	5895.0	5895.0	1.0	1.0	3.0	3.0	16495.0	16495.0			4.0	4.0	1.0	1.0	3.0	3.0							1.0	1.0								
SRR7367661	35362.0	35362.0	151386.0	151386.0	216155.0	216155.0	3452.0	3452.0	1833.0	1833.0	8731.0	8731.0			3156.0	3156.0	3.0	3.0	13536.0	13536.0	4457.0	4457.0	5.0	5.0	84072.0	84072.0	15626.0	15626.0	312.0	312.0	9.0	9.0			21.0	21.0	55.0	55.0	23.0	23.0	336.0	336.0	152.0	152.0	1.0	1.0			8.0	8.0					4.0	4.0			7.0	7.0																
SRR7367662	110364.0	110364.0	230320.0	230320.0	196176.0	196176.0	1930.0	1930.0	1288.0	1288.0	3929.0	3929.0			1945.0	1945.0	2254.0	2254.0	9010.0	9010.0	4130.0	4130.0	2.0	2.0	75743.0	75743.0	17203.0	17203.0	210.0	210.0	71.0	71.0	1.0	1.0	11.0	11.0	20.0	20.0	12.0	12.0	160.0	160.0	97.0	97.0	565.0	565.0	14.0	14.0	38.0	38.0	3555.0	3555.0			1.0	1.0			3.0	3.0			3.0	3.0					1.0	1.0						
SRR7367663	313.0	313.0	61770.0	61770.0	2471.0	2471.0	1289.0	1289.0	698.0	698.0	3562.0	3562.0			1103.0	1103.0	1407.0	1407.0	7479.0	7479.0	909.0	909.0			88132.0	88132.0	10518.0	10518.0	283.0	283.0	9.0	9.0	1.0	1.0	39.0	39.0	5.0	5.0	1.0	1.0	205.0	205.0	40.0	40.0	694.0	694.0									1.0	1.0			5.0	5.0																
